park_num,ORIG_FID,Blue-green space name,Jurisdiction,x-coord-MAX,y-coord-MAX,x-coord-MIN,y-cooord-MIN
11,4,Waterfront Park,North Vancouver - City,493854.4757,5462203.334,493669.9588,5462059.012
17,9,Sunset Beach Park,Vancouver,490185.1034,5458499.965,489927.1638,5458138.986
18,10,English Bay Beach Park,Vancouver,490001.1224,5459738.202,489362.5162,5458426.148
20,11,"Third Beach, Stanley Park",Vancouver,488645.5041,5461464.438,488563.3227,5461023.738
22,13,Don Roberts Park,Coquitlam,510949.995,5452420.473,510898.312,5452340.099
24,17,Maquabeak Park,Coquitlam,513380.1429,5452401.294,513193.1318,5452265.023
31,19,Fred Gingell Park,Delta,493342.1985,5428328.704,493240.7516,5428272.518
32,20,Panorama Park,North Vancouver - District,503722.6656,5464109.845,503598.1002,5463858.389
37,25,Cates Park,North Vancouver - District,503773.327,5461444.25,502729.2583,5460842.911
42,26,Emmeline Mohun Park (riverfro,Maple Ridge,524718.5304,5449889.187,524675.5125,5449834.316
43,27,Port Haney Wharf,Maple Ridge,528919.1065,5451041.414,528874.1574,5451011.005
46,28,Pitt River Regional Greenway at Harris Rd & fraser Way,Metro Vancouver,522890.6913,5450565.395,521831.4909,5449949.145
53,31,Quayside Park,New Westminster,505694.8997,5449568.35,505647.1448,5449467.791
54,32,Waterfront Esplanade and Park,New Westminster,506323.9437,5449561.731,505685.5135,5449459.358
55,33,Westminster Pier Park,New Westminster,507236.241,5450376.797,506784.3436,5449924.551
56,34,Citadel Landing & Traboulay Trail,Port Coquitlam,519161.8236,5454921.339,514852.8353,5452597.281
57,35,Dominion Park,Port Coquitlam,520192.2234,5456217.391,519814.0675,5455547.868
63,38,Old Mill Site Park,Port Moody,511786.1979,5459565.878,511386.7775,5459151.411
64,39,Terra Nova Park 1,Richmond,486483.1319,5446988.422,485391.0898,5446399.35
67,42,Imperial Landing Park,Richmond,487487.6863,5441233.384,486792.3877,5440943.34
70,44,Crescent Beach 1,Surrey,508592.6223,5434069.478,508191.9933,5432906.043
74,47,West Bay Park,West Vancouver,484632.1315,5465440.172,484499.0595,5465376.825
77,49,Gulf Beach Park,West Vancouver,480552.0738,5465926.27,480499.0961,5465867.869
78,50,Eagle Harbour Beach Park,West Vancouver,480537.9588,5466876.868,480431.0831,5466800.483
79,51,Larson Bay Park,West Vancouver,479583.7099,5467825.626,479424.4246,5467680.521
80,52,Bellevue Ave Park,West Vancouver,486521.7043,5464658.897,486500.3179,5464568.435
82,53,Stearman Beach,West Vancouver,482474.1734,5465352.957,482157.016,5465134.11
83,54,Parthenon Park (aka Balmy Beach),West Vancouver,480483.8013,5466542.496,480420.9464,5466479.874
85,56,Altamont Beach Park,West Vancouver,485719.3676,5465070.043,485596.1451,5464924.444
86,57,Sandy Cove Park,West Vancouver,483619.6881,5465402.459,483549.0285,5465315.43
88,59,Garrow Bay Park,West Vancouver,479426.0581,5468590.262,479338.7735,5468538.425
89,60,Citrus Park,West Vancouver,481785.8306,5471625.296,481719.235,5471593.947
93,62,Memorial Park (including Totem Park parcel),White Rock,515429.5557,5430190.297,513333.6988,5429244.486
44,66,"Pacific Spirit Regional Park (Acadia, Tower, and Wreck Beaches combined)",Metro Vancouver,482524.9661,5458601.753,480637.2985,5455373.828
7,69,Deer lake (lakefront),Burnaby,502560.5356,5454050.546,501495.4518,5453410.077
21,73,John Hendry (Trout Lake) Park,Vancouver,495627.0657,5456140.377,495280.7284,5455654.698
38,76,Harbourview Park (riverfront),North Vancouver - District,497265.1749,5461381.641,497199.6383,5460938.269
90,79,Dundarave Park,West Vancouver,486965.6114,5464571.453,486653.0532,5464410.9
99,83,Gladstone-Riverside Park,Vancouver,495870.7626,5450355.355,495471.966,5450280.115
100,84,Kinross Corridor – South,Vancouver,497329.1221,5450255.237,497226.799,5450135.255
102,86,David Lam Park,Vancouver,491114.3705,5457768.432,490806.9577,5457595.615
103,87,Coopers' Park,Vancouver,491867.8316,5457926.664,491489.8699,5457756.449
105,90,Riverfront Park,Vancouver,496429.0761,5450349.545,495869.7495,5450273.273
106,91,Deering Island Park,Vancouver,486585.5221,5451783.677,486430.9529,5451683.475
